sa2_name_2016, area_km2, gccsa_name_2016, state_code_2016, state_name_2016, sa2_maincode_2016, sa4_code_2016, pop_density_2020_people_per_km2, sa4_name_2016, gccsa_code_2016, sa3_name_2016, sa3_code_2016
"Braidwood",3418.3525390625,"Rest of NSW",1,"New South Wales","101021007",101,1.25530004501343,"Capital Region","1RNSW","Queanbeyan",10102
"Karabar",6.98250007629395,"Rest of NSW",1,"New South Wales","101021008",101,1198.85424804688,"Capital Region","1RNSW","Queanbeyan",10102
"Queanbeyan",4.76340007781982,"Rest of NSW",1,"New South Wales","101021009",101,2403.7451171875,"Capital Region","1RNSW","Queanbeyan",10102
"Deua - Wadbilliga",2781.99877929688,"Rest of NSW",1,"New South Wales","101041022",101,0.00899999961256981,"Capital Region","1RNSW","South Coast",10104
"Eden",94.8137969970703,"Rest of NSW",1,"New South Wales","101041023",101,34.4359016418457,"Capital Region","1RNSW","South Coast",10104
"Eurobodalla Hinterland",1460.01171875,"Rest of NSW",1,"New South Wales","101041024",101,2.39310002326965,"Capital Region","1RNSW","South Coast",10104
"Merimbula - Tura Beach",97.3395004272461,"Rest of NSW",1,"New South Wales","101041025",101,117.465202331543,"Capital Region","1RNSW","South Coast",10104
"Queanbeyan - East",13.003399848938,"Rest of NSW",1,"New South Wales","101021010",101,390.897796630859,"Capital Region","1RNSW","Queanbeyan",10102
"Queanbeyan Region",3054.40991210938,"Rest of NSW",1,"New South Wales","101021011",101,7.03770017623901,"Capital Region","1RNSW","Queanbeyan",10102
"Queanbeyan West - Jerrabomberra",13.6788997650146,"Rest of NSW",1,"New South Wales","101021012",101,956.217224121094,"Capital Region","1RNSW","Queanbeyan",10102
"Bombala",3989.36181640625,"Rest of NSW",1,"New South Wales","101031013",101,0.606899976730347,"Capital Region","1RNSW","Snowy Mountains",10103
"Cooma",103.637100219727,"Rest of NSW",1,"New South Wales","101031014",101,65.6810989379883,"Capital Region","1RNSW","Snowy Mountains",10103
"Cooma Region",6250.875,"Rest of NSW",1,"New South Wales","101031015",101,0.553399980068207,"Capital Region","1RNSW","Snowy Mountains",10103
"Jindabyne - Berridale",3939.54833984375,"Rest of NSW",1,"New South Wales","101031016",101,1.86389994621277,"Capital Region","1RNSW","Snowy Mountains",10103
"Batemans Bay",63.7074012756348,"Rest of NSW",1,"New South Wales","101041017",101,128.289596557617,"Capital Region","1RNSW","South Coast",10104
"Batemans Bay - South",30.5948009490967,"Rest of NSW",1,"New South Wales","101041018",101,280.472503662109,"Capital Region","1RNSW","South Coast",10104
"Bega - Tathra",183.898498535156,"Rest of NSW",1,"New South Wales","101041019",101,47.8306999206543,"Capital Region","1RNSW","South Coast",10104
"Bega-Eden Hinterland",4710.20703125,"Rest of NSW",1,"New South Wales","101041020",101,1.88510000705719,"Capital Region","1RNSW","South Coast",10104
"Broulee - Tomakin",24.2329006195068,"Rest of NSW",1,"New South Wales","101041021",101,151.075607299805,"Capital Region","1RNSW","South Coast",10104
"Moruya - Tuross Head",165.411804199219,"Rest of NSW",1,"New South Wales","101041026",101,50.2564010620117,"Capital Region","1RNSW","South Coast",10104
"Narooma - Bermagui",252.651992797852,"Rest of NSW",1,"New South Wales","101041027",101,36.576000213623,"Capital Region","1RNSW","South Coast",10104
"Goulburn",64.7864990234375,"Rest of NSW",1,"New South Wales","101051539",101,376.343811035156,"Capital Region","1RNSW","Goulburn - Mulwaree",10105
"Goulburn Region",9035.1220703125,"Rest of NSW",1,"New South Wales","101051540",101,1.49749994277954,"Capital Region","1RNSW","Goulburn - Mulwaree",10105
"Cobar",45551.3984375,"Rest of NSW",1,"New South Wales","105011093",105,0.099200002849102,"Far West and Orana","1RNSW","Bourke - Cobar - Coonamble",10501
"Coonamble",12142.353515625,"Rest of NSW",1,"New South Wales","105011094",105,0.335099995136261,"Far West and Orana","1RNSW","Bourke - Cobar - Coonamble",10501
"Yass",99.7341995239258,"Rest of NSW",1,"New South Wales","101061541",101,67.3088989257812,"Capital Region","1RNSW","Young - Yass",10106
"Yass Region",5680.87841796875,"Rest of NSW",1,"New South Wales","101061542",101,2.20860004425049,"Capital Region","1RNSW","Young - Yass",10106
"Young",505.752807617188,"Rest of NSW",1,"New South Wales","101061543",101,21.1802997589111,"Capital Region","1RNSW","Young - Yass",10106
"Young Region",5849.80859375,"Rest of NSW",1,"New South Wales","101061544",101,1.23969995975494,"Capital Region","1RNSW","Young - Yass",10106
"Avoca Beach - Copacabana",6.43760013580322,"Greater Sydney",1,"New South Wales","102011028",102,1208.21423339844,"Central Coast","1GSYD","Gosford",10201
"Box Head - MacMasters Beach",32.0859985351562,"Greater Sydney",1,"New South Wales","102011029",102,347.223114013672,"Central Coast","1GSYD","Gosford",10201
"Calga - Kulnura",767.951171875,"Greater Sydney",1,"New South Wales","102011030",102,6.50430011749268,"Central Coast","1GSYD","Gosford",10201
"Erina - Green Point",33.793399810791,"Greater Sydney",1,"New South Wales","102011031",102,424.283996582031,"Central Coast","1GSYD","Gosford",10201
"Nyngan - Warren",21216.001953125,"Rest of NSW",1,"New South Wales","105011095",105,0.225199997425079,"Far West and Orana","1RNSW","Bourke - Cobar - Coonamble",10501
"Gosford - Springfield",16.9123992919922,"Greater Sydney",1,"New South Wales","102011032",102,1199.06103515625,"Central Coast","1GSYD","Gosford",10201
"Walgett - Lightning Ridge",27011.6796875,"Rest of NSW",1,"New South Wales","105011096",105,0.227500006556511,"Far West and Orana","1RNSW","Bourke - Cobar - Coonamble",10501
"Kariong",8.30630016326904,"Greater Sydney",1,"New South Wales","102011033",102,793.132873535156,"Central Coast","1GSYD","Gosford",10201
"Kincumber - Picketts Valley",12.0887002944946,"Greater Sydney",1,"New South Wales","102011034",102,623.061218261719,"Central Coast","1GSYD","Gosford",10201
"Broken Hill",170.115295410156,"Rest of NSW",1,"New South Wales","105021097",105,101.513496398926,"Far West and Orana","1RNSW","Broken Hill and Far West",10502
"Narara",7.70209980010986,"Greater Sydney",1,"New South Wales","102011035",102,903.779479980469,"Central Coast","1GSYD","Gosford",10201
"Niagara Park - Lisarow",16.7315998077393,"Greater Sydney",1,"New South Wales","102011036",102,483.217407226562,"Central Coast","1GSYD","Gosford",10201
"Far West",146690.0625,"Rest of NSW",1,"New South Wales","105021098",105,0.0163000002503395,"Far West and Orana","1RNSW","Broken Hill and Far West",10502
"Point Clare - Koolewong",6.78739976882935,"Greater Sydney",1,"New South Wales","102011037",102,930.989807128906,"Central Coast","1GSYD","Gosford",10201
"Wyoming",8.38099956512451,"Greater Sydney",1,"New South Wales","102011043",102,1411.40686035156,"Central Coast","1GSYD","Gosford",10201
"Saratoga - Davistown",4.76830005645752,"Greater Sydney",1,"New South Wales","102011038",102,1543.52697753906,"Central Coast","1GSYD","Gosford",10201
"Gorokan - Kanwal - Charmhaven",11.2489995956421,"Greater Sydney",1,"New South Wales","102021048",102,2026.4912109375,"Central Coast","1GSYD","Wyong",10202
